"Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Ref_ID","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","yearCategory","Planning_Status_Summary","NearestTurbineBuilt","NearestTurbinePlanned","NearestTurbineRejected","lon","lat","Airports","AONB","ARoads","BRoads","HCoast","HVpowerline","MilitarySites","MinRoads","Motorways","NationalParks","NNR","Powerlines","PrimaryRoads","Railway","RAMSAR","SACS","SPA","SSSI","UrbanLarge","UrbanRegions","UrbanSmall","Slope","UKElevation","WindSpeed45","CensusMerged","AgeTotal","AgeMean","AgeMedian","QualTotal","QualLevel4","QualPercL4","SocGrdTot","SocGrdAB","TenureTotal","TenureOwned","PercOwn","Year","Authority","Code","Type","Council_si","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_sha"
"L_0001",189020,66439,"Denzell Downs",5,2,10,"Refused/Abandoned","3736","17/07/2013","Cornwall","South West","England","28/02/2011",NA,NA,"Large",2011,"2010 Onwards",0,1.7,1.7,11.5,-4.9738516881986,50.4597420949078,1.861,3.807,2.849,2.816,9.532,7.647,2.796,0.298,106.13,58.232,7.713,7.647,3.266,6.707,107.01,6.982,46.951,3.173,6.273,0.955,0.955,4.77672338485718,91,8,"E01019060",1659,47.6,50,1434,406,28,404,23,629,467,74,2011,"Cornwall",827,11,123,48,0,39,36,NA,"NOC",62,39.0243902439024,0,31.7073170731707,29.2682926829268,NA
"L_0002",273119,210852,"Mynydd Y Gwrhyd Windfarm (resubmission)",2,2.35,4.7,"Refused/Abandoned","5624","06/10/2015","Neath Port Talbot","Wales","Wales","20/09/2007",NA,NA,"Large",2007,"Before 2010",0,6.2,0.6,0.6,-3.8407128886435,51.7819027179376,24.422,22.471,2.178,4.429,59.65,2.697,19.938,1.006,12.432,3.056,11.584,2.697,10.235,2.093,14.928,13.285,20.587,1.314,2.254,1.495,1.495,3.71872496604919,329,7,"W01000919",1172,41.7,43,966,205,21,362,13.3,504,381,76,2007,"Neath Port Talbot",7014,13,64,0,36,2,16,10,"Lab",33,0,56.25,3.125,25,15.625
"L_0003",313860,478710,"Haverigg Prison (resubmission)",5,1.8,9,"Refused/Abandoned","5077","03/10/2016","Cumbria","North West","England","23/01/2015",NA,NA,"Large",2015,"2010 Onwards",0,0.8,0.8,3.4,-3.32185438380902,54.1968830879997,41.062,29.842,1.8,14.317,37.672,3.481,3.371,0.965,37.704,1.759,5.285,3.481,3.75,1.758,0.102,0.103,0.103,0.103,2.884,1.441,1.441,0.290249705314636,11,NA,"E01019283",1849,42.4,41,1666,252,15,356,14,574,466,81,2015,"Copeland",904,1,51,17,29,0,5,NA,"Lab",26,33.3333333333333,56.8627450980392,0,9.80392156862745,NA
"L_0004",632000,261000,"Parham Airfield (wind)",6,2.3,13.8,"Refused/Abandoned","3262","01/07/2011","Suffolk","Eastern","England","01/03/2005",NA,NA,"Large",2005,"Before 2010",0,39.9,33.1,33.1,1.39343376172365,52.1983800189386,11.887,7.095,5.153,1.603,7.934,2.189,4.644,0.479,83.284,28.37,15.474,2.189,2.764,4.347,8.199,8.2,6.516,2.804,3.552,0.945,0.945,0.649392008781433,40,6,"E01030176",1977,45.8,49,1647,614,37,558,34.6,852,588,69,2005,"Suffolk Coastal",3506,1,55,42,2,11,0,NA,"Con",28,76.3636363636364,3.63636363636364,20,0,NA
"L_0005",496525,425211,"Melton Waste Park",2,2.5,5,"Refused/Abandoned","3645","29/04/2016","Humberside","Yorkshire and Humber","England","14/06/2013",NA,NA,"Large",2013,"2010 Onwards",0,4.8,4.8,7.6,-0.538916152945705,53.7143989348248,18.93,28.676,4.011,1.995,43.516,5.083,10.05,0.421,11.012,57.955,4.586,5.083,1.359,0.616,0.588,0.584,0.584,0.584,1.366,1.366,1.706,0.290249705314636,2,6,"E01013090",1414,43.9,45,1176,429,36,368,35.9,587,505,86,2013,"East Riding Of Yorkshire",2021,11,67,53,6,3,5,NA,"Con",34,79.1044776119403,8.95522388059701,4.47761194029851,7.46268656716418,NA
"L_0006",314375,687820,"J2a",2,2.35,4.7,"Refused/Abandoned","3357","23/06/2016","Fife","Scotland","Scotland","31/01/2014",NA,NA,"Large",2014,"2010 Onwards",0,3.7,2,2,-3.37717832324501,56.0755040736077,12.998,45.421,1.474,0.138,88.811,1.748,5.136,1.119,0.824,52.189,10.353,1.748,1.156,1.489,4.632,26.114,4.632,2.876,1.075,0.43,0.43,1.69574677944183,113,8,"S01002648",1143,39.4,42,930,223,24,780,19.5,464,377,81,2014,"Fife",8016,12,78,3,35,10,4,26,"NOC",40,3.84615384615385,44.8717948717949,12.8205128205128,5.12820512820513,33.3333333333333
"L_0007",377538,339757,"Maer Hills Wind Farm",4,2,8,"Refused/Abandoned","3067","13/09/2011","Staffordshire","West Midlands","England","12/06/2008",NA,NA,"Large",2008,"Before 2010",0,19.7,19.7,33.3,-2.33579036222102,52.9547131536989,20.568,26.052,0.943,4.231,177,3.917,8.69,0.786,4.819,28.614,12.812,3.918,0.766,2.003,8.269,12.728,31.648,1.591,1.474,1.001,1.001,3.49546313285828,186,7,"E01029570",2468,46.6,50,2073,784,38,641,40.2,1035,882,85,2008,"Newcastle-Under-Lyme",3404,1,60,25,12,19,4,NA,"NOC",31,41.6666666666667,20,31.6666666666667,6.66666666666667,NA
"L_0008",528336,167552,"Willow Lane Wind Turbines",10,1.1,11,"Refused/Abandoned","4037","20/05/2014","Greater London","London","England","30/06/2004",NA,NA,"Large",2004,"Before 2010",0,25.6,25.6,90.6,-0.156825887778319,51.3925021484162,10.244,11.172,0.064,0.821,71.691,0.39,4.405,4.68,12.395,46.862,8.399,0.409,2.14,0.022,15.809,5.772,15.809,5.772,0.064,0.064,8.943,0.918059587478638,27,6,"E01003375",1616,40.2,40,1321,333,25,472,21.6,654,388,59,2004,"Merton",5424,8,60,25,32,0,3,NA,"Lab",31,41.6666666666667,53.3333333333333,0,5,NA
"L_0009",444854,306031,"Stonehaven Wind Turbine",1,1.5,1.5,"Refused/Abandoned","4286","26/02/2016","Leicestershire","East Midlands","England","14/04/2014",NA,NA,"Large",2014,"2010 Onwards",0,2.7,0.6,7.3,-1.33843580589773,52.6501644405722,12.375,38.779,3.021,0.151,130.25,0.365,15.632,0.572,4.512,50.088,8.712,0.387,5.966,1.846,42.746,10.714,42.746,3.858,3.273,1.627,1.627,0.582254111766815,145,7,"E01025875",1518,41.7,42,1232,192,16,444,12.6,658,404,61,2014,"Hinckley & Bosworth",2404,1,34,14,1,19,0,NA,"LD",18,41.1764705882353,2.94117647058824,55.8823529411765,0,NA
"L_0010",492034,273320,"Burton Wold Wind Farm Extension (Southern)",3,2.8,8.6,"Refused/Abandoned","3821","18/11/2016","Northamptonshire","East Midlands","England","24/08/2011",NA,NA,"Large",2011,"2010 Onwards",0,1.3,1.3,1.3,-0.650246112818396,52.3502345320702,10.283,43.971,0.766,2.693,104.849,0.562,14.904,1.146,24.747,105.227,27.676,0.562,0.583,2.743,4.133,31.054,4.133,2.871,0.611,0.611,3.163,0.822153091430664,94,7,"E01027327",1480,41.8,43,1263,236,19,513,16,695,380,55,2011,"Wellingborough",2707,1,36,27,9,0,0,NA,"Con",19,75,25,0,0,NA
