"","Variable","Estimate","Std. Error","z value","Pr","Sig.","Odds Ratio","OR 
 2.5% CI","OR 
 97.5% CI"
"1","Number of Turbines",0.002,0.006,0.406,0.685," ",1.002,0.991,1.014
"2","Turbine Capacity MW",0.371,0.068,5.496,0,"***",1.45,1.271,1.657
"3","Wind Speed",-0.091,0.063,-1.448,0.148," ",0.913,0.807,1.033
"4","Distance to HV Powerlines",0.002,0.009,0.244,0.807," ",1.002,0.985,1.021
"5","Year",-0.119,0.014,-8.517,0,"***",0.888,0.863,0.912
"6","Distance to Airports",0.008,0.004,2.067,0.039,"*",1.008,1,1.015
"7","Distance to A Roads",0.003,0.013,0.247,0.805," ",1.003,0.979,1.028
"8","Distance to B Roads",-0.033,0.019,-1.717,0.086,".",0.968,0.932,1.005
"9","Distance to Minor Roads",0.05,0.071,0.702,0.482," ",1.051,0.915,1.207
"10","Distance to Motorways",0,0.007,0.014,0.989," ",1,0.987,1.014
"11","Distance to Railways",0.013,0.009,1.431,0.152," ",1.013,0.995,1.031
"12","Distance to  Urban Region",0.169,0.065,2.585,0.01,"**",1.184,1.042,1.347
"13","Distance to AONB",0.017,0.006,2.807,0.005,"**",1.017,1.005,1.029
"14","Distance to National Park",0.03,0.007,4.506,0,"***",1.03,1.017,1.044
"15","Distance to Heritage Coast",-0.01,0.009,-1.183,0.237," ",0.99,0.973,1.007
"16","Distance to NNR",-0.004,0.007,-0.564,0.573," ",0.996,0.982,1.01
"17","Distance to Ramsar",0.014,0.007,2.146,0.032,"*",1.015,1.001,1.028
"18","Distance to SACS",0.004,0.01,0.438,0.661," ",1.004,0.985,1.023
"19","Distance to Natura 2000",-0.019,0.008,-2.306,0.021,"*",0.981,0.965,0.997
"20","Distance to SSSI",0.04,0.025,1.601,0.109," ",1.041,0.991,1.094
"21","Distance to Military Sites",0.001,0.008,0.084,0.933," ",1.001,0.985,1.016
"22","Qualifications, L4",-0.032,0.007,-4.596,0,"***",0.968,0.955,0.981
"23","Mean Age ",-0.041,0.017,-2.367,0.018,"*",0.96,0.928,0.993
"24","Home Ownership",0,0,0.542,0.588," ",1,0.999,1.001
"25","Political, Conservative Share",-0.001,0.003,-0.305,0.76," ",0.999,0.992,1.006
"26","Political, Labour Share",0.005,0.004,1.279,0.201," ",1.005,0.997,1.013
"27","Political, Liberal Democrat",0.003,0.005,0.694,0.488," ",1.003,0.994,1.013
"28","Nearest Turbine (Operational)",-0.017,0.004,-4.238,0,"***",0.983,0.975,0.991
"29","Nearest Turbine (Rejected)",0.021,0.003,6.339,0,"***",1.021,1.015,1.028
"30","Distance to  Large Urban Areas",-0.004,0.013,-0.316,0.752," ",0.996,0.971,1.022
