"","Model 1","Model 2","Model 3","Model 4","Model 5","Model 6","Model 7"
"Observations","1685","1685","1685","1685","1685","1685","1685"
"Parameters","3","5","6","22","25","28","31"
"Deviance","2303.2","2297.61","2211.43","2139.69","2108.01","2105.38","2069.23"
"R.n","0.016","0.020","0.086","0.138","0.160","0.162","0.187"
"Chi Square","20","25","112","183","215","218","254"
"Degrees of Freedom","2","4","5","21","24","27","30"
"p","5e-05","4e-05","0.000","0.000","0.000","0.000","0.000"
"Residual Deviance","1682","1680","1679","1663","1660","1657","1654"
"AIC","2309","2308","2223","2184","2158","2161","2131"
"Accuracy [note]","55.3%","56.2%","62%","64%","64%","64.4%","65.5%"
