"","Ref_ID","Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","yearCategory","Planning_Status_Summary","NearestTurbineBuilt","NearestTurbinePlanned","NearestTurbineRejected","lon","lat","Airports","AONB","ARoads","BRoads","HCoast","HVpowerline","MilitarySites","MinRoads","Motorways","NationalParks","NNR","Powerlines","PrimaryRoads","Railway","RAMSAR","SACS","SPA","SSSI","UrbanLarge","UrbanRegions","UrbanSmall","Slope","UKElevation","WindSpeed45","CensusMerged","AgeTotal","AgeMean","AgeMedian","QualTotal","QualLevel4","QualPercL4","SocGrdTot","SocGrdAB","TenureTotal","TenureOwned","PercOwn","Year","Authority","Code","Type","Council_si","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_sha","Planning_Status_Code","Airports_Trans","AONB_Trans","ARoads_Trans","BRoads_Trans","HCoast_Trans","HVpowerline_Trans","MilitarySites_Trans","MinRoads_Trans","Motorways_Trans","NationalParks_Trans","NNR_Trans","Powerlines_Trans","PrimaryRoads_Trans","Railway_Trans","RAMSAR_Trans","SACS_Trans","SPA_Trans","SSSI_Trans","UrbanLarge_Trans","UrbanRegions_Trans","UrbanSmall_Trans"
"1","2549","L_0050",639100,293300,"Stockton Wind Turbine",2,0,1.5,"Refused/Abandoned","03/08/2005","Norfolk","Eastern","England","09/03/1998",NA,NA,"Large",1998,"Before 2010",0,7.9,7.9,9.7,1.52008823893042,52.4851871805099,24.369,9.471,4.184,3.553,15.815,1.367,17.102,0.212,101.377,1.428,9.659,1.368,0.205,4.469,1.424,1.424,1.424,0.907,3.598,0.394,0.394,0.649392008781433,24,6,"E01026899",1479,43.2,45,1195,320,27,404,20.5,602,448,74,1998,"South Norfolk",2607,1,47,12,3,30,2,NA,"LD",24,25.531914893617,6.38297872340426,63.8297872340426,4.25531914893617,0,0,24.369,9.471,4.184,3.553,15.815,1.367,17.102,0.212,30,1.428,9.659,1.368,0.205,4.469,1.424,1.424,1.424,0.907,3.598,0.394,0.394
"2","2550","L_0051",639700,294700,"Brundish Wind Turbine",0,0,1.5,"Refused/Abandoned","02/05/2006","Norfolk","Eastern","England","09/03/1998",NA,NA,"Large",1998,"Before 2010",0,80,80,80,1.52991380874698,52.4974862069634,25.121,9.966,4.588,2.423,16.215,1.039,18.391,0.56,102.585,2.772,8.442,1.039,0.926,4.902,2.778,2.779,2.779,2.218,4.192,1.065,1.065,2.48498606681824,34,6,"E01026899",1479,43.2,45,1195,320,27,404,20.5,602,448,74,1998,"South Norfolk",2607,1,47,12,3,30,2,NA,"LD",24,25.531914893617,6.38297872340426,63.8297872340426,4.25531914893617,0,0,25.121,9.966,4.588,2.423,16.215,1.039,18.391,0.56,30,2.772,8.442,1.039,0.926,4.902,2.778,2.779,2.779,2.218,4.192,1.065,1.065
"3","2555","L_1373",646953,318736,"South Beach Wind Turbine (Somerton)",1,1.47,1.5,"Approved","09/05/2013","Norfolk","Eastern","England","21/05/1999",NA,"22/07/2000","Large",1999,"Before 2010",1,80,80,80,1.65446230427445,52.7098941697123,19.828,1.028,3.144,3.715,34.324,16.635,12.314,0.552,120.084,0.625,1.499,16.636,9.84,10.122,1.474,1.474,1.474,1.474,0.879,0.849,0.849,1.30099046230316,13,7,"E01026606",1567,49.7,55,1377,279,20,413,20.1,708,567,80,1999,"Great Yarmouth",2603,1,48,19,29,0,0,NA,"Lab",25,39.5833333333333,60.4166666666667,0,0,0,1,19.828,1.028,3.144,3.715,30,16.635,12.314,0.552,30,0.625,1.499,16.636,9.84,10.122,1.474,1.474,1.474,1.474,0.879,0.849,0.849
"4","2556","L_1252",581585,309935,"Swaffham 1 - Ecotech Wind Park",1,1.47,1.5,"Approved","04/12/2008","Norfolk","Eastern","England","02/03/1998",NA,"16/08/1999","Large",1998,"Before 2010",1,15.3,15.3,42.1,0.683267417043846,52.6567293509921,7.114,18.824,3.147,8.309,33.314,1.853,0.835,0.308,62.837,41.021,17.213,1.858,0.099,16.394,17.213,7.945,2.79,2.79,0.081,0.081,2.825,0.649392008781433,75,7,"E01026459",1418,48,51,1203,189,16,354,13.3,662,384,58,1998,"Breckland",2601,1,53,21,23,1,8,NA,"NOC",27,39.622641509434,43.3962264150943,1.88679245283019,15.0943396226415,0,1,7.114,18.824,3.147,8.309,30,1.853,0.835,0.308,30,30,17.213,1.858,0.099,16.394,17.213,7.945,2.79,2.79,0.081,0.081,2.825
"5","2559","L_1184",266200,287200,"Mynydd Gorddu Wind Farm",19,0.54,10.2,"Approved","18/05/2006","Dyfed","Wales","Wales","04/01/1991",NA,"18/04/1998","Large",1991,"Before 2010",1,2.6,2.6,10.8,-3.97100057615036,52.4662965249109,37.693,49.991,4.959,3.387,136.271,7.779,8.576,1.202,80.449,9.352,3.939,7.779,1.775,3.58,3.774,3.862,5.798,1.596,7.477,1.898,1.898,5.3372631072998,265,7,"W01000523",1910,42.4,44,1568,658,42,578,31.1,834,651,78,1991,"Ceredigion",4102,3,44,0,1,9,31,3,"Ind",23,0,2.27272727272727,20.4545454545455,70.4545454545455,6.81818181818182,1,30,30,4.959,3.387,30,7.779,8.576,1.202,30,9.352,3.939,7.779,1.775,3.58,3.774,3.862,5.798,1.596,7.477,1.898,1.898
"6","2560","L_0056",290400,308000,"Nant Carfan Wind Farm",0,0,20.8,"Refused/Abandoned","09/12/2003","Powys","Wales","Wales","20/04/1999",NA,NA,"Large",1999,"Before 2010",0,6.4,6.4,19.7,-3.62182324094885,52.6586091286528,31.613,34.914,17.152,5.227,157.445,26.509,40.325,1.229,73.162,4.22,5.842,26.509,4.433,5.011,22.822,5.179,5.179,2.009,19.282,2.774,2.774,4.85517978668213,428,7,"W01000452",1931,46,50,1614,464,29,520,21.3,825,649,79,1999,"Powys",7017,13,72,1,7,6,58,0,"Ind",37,1.38888888888889,9.72222222222222,8.33333333333333,80.5555555555556,0,0,30,30,17.152,5.227,30,26.509,30,1.229,30,4.22,5.842,26.509,4.433,5.011,22.822,5.179,5.179,2.009,19.282,2.774,2.774
"7","2561","L_0794",302500,280000,"Hirddywell Windfarm",0,0,14.8,"Refused/Abandoned","29/06/2011","Powys","Wales","Wales","30/08/2000",NA,NA,"Large",2000,"Before 2010",0,4.3,4.3,6.7,-3.43476691383228,52.4092852507359,30.444,14.043,14.324,4.925,131.077,15.249,43.223,1.2,68.205,34.426,20.705,15.249,5.669,11.206,33.676,4.269,7.83,1.946,7.675,4.438,4.438,2.09652185440063,548,8,"W01000453",1405,44.8,48,1171,308,26,387,22.5,587,448,76,2000,"Powys",7017,13,73,1,6,6,60,0,"Ind",37,1.36986301369863,8.21917808219178,8.21917808219178,82.1917808219178,0,0,30,14.043,14.324,4.925,30,15.249,30,1.2,30,30,20.705,15.249,5.669,11.206,30,4.269,7.83,1.946,7.675,4.438,4.438
"8","2563","L_1459",281000,280000,"Cefn Croes Wind Farm",39,1.5,58.5,"Approved","22/04/2009","Dyfed","Wales","Wales","24/07/2000",NA,"25/01/2005","Large",2000,"Before 2010",1,23.3,1.5,1.5,-3.75069117381796,52.4050276847992,47.067,35.282,5.307,4.229,128.861,0.902,22.583,4.235,76.469,20.551,5.524,0.902,2.841,7.727,16.113,2.788,0.32,0.32,14.228,4.282,4.282,5.28202772140503,551,8,"W01000543",2020,43.4,47,1662,580,35,621,23.2,880,686,78,2000,"Ceredigion",7008,13,44,0,1,7,22,14,"NOC",23,0,2.27272727272727,15.9090909090909,50,31.8181818181818,1,30,30,5.307,4.229,30,0.902,22.583,4.235,30,20.551,5.524,0.902,2.841,7.727,16.113,2.788,0.32,0.32,14.228,4.282,4.282
"9","2564","L_1338",291053,295836,"Carno 'B' Wind Farm",28,0.6,16.8,"Approved","30/10/2011","Powys","Wales","Wales","30/12/1993",NA,"01/10/1996","Large",1993,"Before 2010",1,6.5,6.5,62.4,-3.60816294453716,52.5494325382762,31.633,27.692,17.787,2.078,145.407,16.67,34.807,1.896,73.93,15.209,17.818,16.67,4.727,4.046,21.56,4.497,17.289,1.26,11.424,1.891,1.891,2.91456985473633,465,8,"W01000452",1931,46,50,1614,464,29,520,21.3,825,649,79,1993,"Powys",4500,4,46,0,6,4,36,0,"Ind",24,0,13.0434782608696,8.69565217391304,78.2608695652174,0,1,30,27.692,17.787,2.078,30,16.67,30,1.896,30,15.209,17.818,16.67,4.727,4.046,21.56,4.497,17.289,1.26,11.424,1.891,1.891
"10","2565","L_1299",293000,295000,"Carno 'A' Wind Farm",28,0.6,16.8,"Approved","30/10/2011","Powys","Wales","Wales","16/08/1993",NA,"01/10/1996","Large",1993,"Before 2010",1,71,46.7,46.7,-3.57919113474359,52.5423064228343,29.979,25.573,18.462,4.079,144.797,17.535,36.346,0.846,72.197,16.856,18.661,17.535,3.502,3.542,23.574,3.663,18.22,3.014,9.959,3.039,3.039,1.453782081604,436,8,"W01000433",2316,44.8,48,1959,430,22,654,18,1032,755,73,1993,"Powys",4500,4,46,0,6,4,36,0,"Ind",24,0,13.0434782608696,8.69565217391304,78.2608695652174,0,1,29.979,25.573,18.462,4.079,30,17.535,30,0.846,30,16.856,18.661,17.535,3.502,3.542,23.574,3.663,18.22,3.014,9.959,3.039,3.039
